"SizeGB","SizeMB","Path"
"156,21","159954","C:\Users"
"72,26","73992","C:\Program Files"
"59,14","60558","C:\dev"
"27,81","28474","C:\Windows"
"15,97","16358","C:\Program Files (x86)"
"14,59","14945","C:\gitlab"
"8,45","8656","C:\Python"
"4,69","4801","C:\Games"
"4,32","4419","C:\Tools"
"1,87","1915","C:\Налогоплательщик ЮЛ"
"1,48","1513","C:\Strawberry"
"1,25","1284","C:\Java"
"1,01","1035","C:\Ez3D2009"
"0,29","300","C:\MariaDB"
"0,24","245","C:\cygwin64"
"0,16","162","C:\tmp"
"0,15","158","C:\cygwin-packages"
"0,15","152","C:\data"
"0,14","146","C:\TEMP"
"0","0","C:\Brother"
"0","0","C:\root"
"0","0","C:\monitoring"
"0","0","C:\home"
