"SizeGB","SizeMB","Path"
"694,69","711360","H:\Games"
"636,78","652067","H:\Distr"
"564,44","577986","H:\ODA"
"254,59","260703","H:\Temp"
"174,37","178559","H:\DCIM-Note13Pro"
"125,66","128671","H:\YandexDisk-Photos"
"113,64","116363","H:\SteamLibrary"
"96,13","98434","H:\VK Play"
"95,25","97535","H:\YandexDisk"
"65,78","67357","H:\krita"
"48,26","49418","H:\vkshare"
"30,55","31288","H:\Share"
"9,36","9583","H:\Music"
"4,43","4534","H:\frigate"
"0,93","949","H:\data"
"0,82","835","H:\Program Files"
"0,59","608","H:\PDATA_Viewer"
"0,51","520","H:\immich"
"0,29","300","H:\ProgramData"
"0,16","160","H:\ProgramFiles"
"0,01","6","H:\VirtualDJ"
"0","0","H:\opt"
"0","0","H:\Minio-Data"
"0","0","H:\clickhouse"
"0","0","H:\builds"
"0","0","H:\GOG Games"
