"SizeGB","SizeMB","Path"
"64,28","65821","H:\Temp\2026.05.26-ПоследнийЗвонок"
"51,82","53059","H:\Temp\2025"
"35","35845","H:\Temp\ES_Leasing"
"19,48","19943","H:\Temp\2024.08.08-ОстровМечты"
"12,22","12513","H:\Temp\vk_vsf"
"9,4","9628","H:\Temp\10031"
"8,85","9067","H:\Temp\10031.xxx"
"8,29","8486","H:\Temp\Downloads"
"6,2","6350","H:\Temp\2025.06.SPB-Natalia"
"5,58","5715","H:\Temp\Vlad"
"3,1","3179","H:\Temp\ViberDownloads"
"2,14","2195","H:\Temp\2025.КТ-Зубы"
"1,85","1897","H:\Temp\Telegram-sync"
"1,62","1656","H:\Temp\КТ-Челюстей"
"1,21","1238","H:\Temp\06"
"1,02","1048","H:\Temp\04"
"0,86","883","H:\Temp\opencv"
"0,56","570","H:\Temp\05"
"0,1","104","H:\Temp\03"
"0,08","80","H:\Temp\faces"
"0,06","66","H:\Temp\HB"
"0,05","50","H:\Temp\rgzz"
"0,04","39","H:\Temp\25.02"
"0,03","34","H:\Temp\11"
"0,01","7","H:\Temp\_RGZZ"
"0","2","H:\Temp\faces_seg"
"0","2","H:\Temp\GPT4ALL"
"0","0","H:\Temp\faces_exif"
"0","0","H:\Temp\faces_meta"
"0","0","H:\Temp\faces_tiling"
"0","0","H:\Temp\2026"
"0","0","H:\Temp\immich"
